OBJECTID,PARK_NUMBER,PARK_NAME,SAP_EQUIPMENT,SAP_FUNCTIONAL_LOCATION,ITEM_TYPE,ITEM_DESCRIPTION,X,Y
1,D0228,7TH BRIGADE PARK,200486256,B-RE-2004-N032,BUBBLER/DRINKING FOUNTAIN,DRINKING FOUNTAIN,153.034660641,-27.376471814
2,D0821,MATTHEW GARDINER PARK,200477660,B-RE-2443-N001,BUBBLER/DRINKING FOUNTAIN,DRINKING FOUNTAIN,153.020318907,-27.3506863489999
3,D0387,KOALA PARK,200507549,B-RE-1455-N002,BUBBLER/DRINKING FOUNTAIN,DIABLED ACCESS BUBBLER,153.028417135,-27.530470205
4,D1413,QUEENSLAND MARITIME MUSEUM PARK,200554498,B-RE-2338-N003,BUBBLER/DRINKING FOUNTAIN,DISABLED ACCESS FOUNTAIN,153.025364446,-27.48187145
5,D1689,WEBSTER ROAD PARK,200561136,B-RE-0444-N001,BUBBLER/DRINKING FOUNTAIN,BUBBLER/DRINKING FOUNTAIN,153.019069392,-27.3946098669999
6,D0095,NEW FARM PARK,200560685,B-RE-1736-N002,BUBBLER/DRINKING FOUNTAIN,BOWL FOUNTAIN TW001,153.052485585,-27.468671075
7,D0338,JINDALEE BOAT RAMP PARK,200560936,B-RE-1920-N007,BUBBLER/DRINKING FOUNTAIN,DRINKING FOUNTAIN & DOG BOWL,152.929400825,-27.5290708869999
8,D0338,JINDALEE BOAT RAMP PARK,200560937,B-RE-1920-N004,BUBBLER/DRINKING FOUNTAIN,DIABLED ACCESS BUBBLER APOLLO 800,152.928656791,-27.5299320089999
9,D0292,EINBUNPIN LAGOON PARK,200561018,B-RE-1943-N002,BUBBLER/DRINKING FOUNTAIN,DISABLED ACCESS FOUNTAIN APOLLO 800,153.068619265,-27.3198734279999
10,D0082,ANZAC SQUARE,100277383,B-RE-1830-N001,BUBBLER/DRINKING FOUNTAIN,DRINKING FOUNTAIN,153.026652629,-27.466195784
11,D0680,KANGAROO POINT CLIFFS PARK,200471275,B-RE-1557-N004,BUBBLER/DRINKING FOUNTAIN,ONE BUBBLER,153.03423853,-27.4776556969999
12,D0863,BREENE COURT PARK,200477861,B-RE-2496-N002,BUBBLER/DRINKING FOUNTAIN,BUBBLER,153.11203592,-27.5108424709999
13,D3055,LANCEWOOD PLACE PARK,200569871,B-RE-1128-N001,BUBBLER/DRINKING FOUNTAIN,BUBBLER,152.868133779,-27.566940034
14,D0647,MT COOT-THA BOTANIC GARDEN,200471033,B-RE-1597-N001,BUBBLER/DRINKING FOUNTAIN,BUBBLER,152.976043032,-27.477216648
15,D0647,MT COOT-THA BOTANIC GARDEN,200471034,B-RE-1597-N026,BUBBLER/DRINKING FOUNTAIN,BUBBLER,152.976582645,-27.476009674
16,D0228,7TH BRIGADE PARK,200478622,B-RE-2004-N036,BUBBLER/DRINKING FOUNTAIN,BUBBLER & TAP,153.045589105,-27.378742119
17,D1862,CENTRAL STREET PARK,200481324,B-RE-0549-N002,BUBBLER/DRINKING FOUNTAIN,DRINKING FOUNTAIN & 2 TAPS,152.960836551,-27.631597605
18,D2086,DALKEITH PARK,100276177,B-RE-2705-N002,BUBBLER/DRINKING FOUNTAIN,BUBBLER & TAP,153.042625633,-27.4134642409999
19,D2208,BACTON ROAD PARK,100289769,B-RE-2779-N002,BUBBLER/DRINKING FOUNTAIN,BUBBLER & TAP,153.155003725,-27.517147096
20,D0718,FERGUSON PARK (BRACKEN RIDGE),200478224,B-RE-2502-N001,BUBBLER/DRINKING FOUNTAIN,DRINKING FOUNTAIN,153.036988243,-27.318028206
21,D0647,MT COOT-THA BOTANIC GARDEN,200471035,B-RE-1597-N031,BUBBLER/DRINKING FOUNTAIN,BUBBLER,152.976727582,-27.4766000979999
22,D0127,SEDGLEY PARK,200561122,B-RE-1697-N002,BUBBLER/DRINKING FOUNTAIN,BUBBLER/DRINKING FOUNTAIN,153.005151369,-27.4289769559999
23,D0798,WENDON WAY PARK,200509081,B-RE-2471-N001,BUBBLER/DRINKING FOUNTAIN,BUBBLER,152.985829212,-27.3611269259999
24,D1743,WOOGAROO RESERVE,200479744,B-RE-0379-N003,BUBBLER/DRINKING FOUNTAIN,BUBBLER,152.977145837,-27.630675717
25,D1619,TORQUAY CRESCENT (NO.1695) PARK,200484756,B-RE-0506-N004,BUBBLER/DRINKING FOUNTAIN,BUBBLER,153.139363531,-27.4701580409999
26,D3292,WATTLE CRESCENT PARK,100295103,B-RE-1183-N001,BUBBLER/DRINKING FOUNTAIN,BUBBLER & TAP,152.875993898,-27.5726644609999
27,D0168,HAMILTON PARK,100300498,B-RE-1980-N002,BUBBLER/DRINKING FOUNTAIN,DRINKING FOUNTAIN,153.064672585,-27.439477354
28,D0075,CAPTAIN BURKE PARK,200477038,B-RE-1837-N004,BUBBLER/DRINKING FOUNTAIN,BUBBLER & 2 TAPS,153.035386891,-27.465476698
29,D0354,HIGHGATE HILL PARK,200472839,B-RE-1488-N001,BUBBLER/DRINKING FOUNTAIN,BUBBLER,153.016582304,-27.486956833
30,D0113,PERTH STREET PARK,200560462,B-RE-1723-N010,BUBBLER/DRINKING FOUNTAIN,BUBBLER/DRINKING FOUNTAIN,153.07402787,-27.4861790799999
31,D0804,BILL BROWN SPORTS RESERVE,200501875,B-RE-2465-N009,BUBBLER/DRINKING FOUNTAIN,DRINKING FOUNTAIN,153.035820392,-27.339554692
32,D3122,JARRAH STREET PARK,200569843,B-RE-1197-N001,BUBBLER/DRINKING FOUNTAIN,BUBBLER,152.86925961,-27.5733178749999
33,D0169,CROSBY PARK,200570265,B-RE-1979-N013,BUBBLER/DRINKING FOUNTAIN,DRINKING FOUNTAIN,153.04839982,-27.4356378429999
34,D0723,CARINDALE RECREATION RESERVE,200560590,B-RE-1590-N007,BUBBLER/DRINKING FOUNTAIN,DRINKING FOUNTAIN APOLLO 400,153.108514415,-27.497732282
35,D0249,MT COOT-THA RESERVE,100264493,B-RE-1901-N018,BUBBLER/DRINKING FOUNTAIN,DRINKING FOUNTAIN 2 TAPS & DOG BOWL,152.96675378,-27.4737280799999
36,D0435,BOORABBIN PICNIC GROUND,100267934,B-RE-1490-N002,BUBBLER/DRINKING FOUNTAIN,BUBBLER & TAP,153.111608973,-27.553041467
37,D0435,BOORABBIN PICNIC GROUND,100267933,B-RE-1490-N004,BUBBLER/DRINKING FOUNTAIN,BUBBLER & TAP,153.110795689,-27.5525633139999
38,D0081,TERRACE STREET PARK,200487337,B-RE-1831-N001,BUBBLER/DRINKING FOUNTAIN,BUBBLER,153.022886028,-27.463883939
39,D2833,MOGGILL DISTRICT SPORT PARK,100268653,B-RE-0228-N011,BUBBLER/DRINKING FOUNTAIN,BUBBLER & TAP,152.862952202,-27.580522523
40,D2833,MOGGILL DISTRICT SPORT PARK,100268370,B-RE-0228-N012,BUBBLER/DRINKING FOUNTAIN,BUBBLER & TAP,152.862925527,-27.579446543
41,D2833,MOGGILL DISTRICT SPORT PARK,100268398,B-RE-0228-N004,BUBBLER/DRINKING FOUNTAIN,BUBBLER & TAP,152.864075854,-27.5813514019999
42,D2833,MOGGILL DISTRICT SPORT PARK,100268397,B-RE-0228-N004,BUBBLER/DRINKING FOUNTAIN,BUBBLER & TAP,152.864220294,-27.580738147
43,D2312,BARTON ROAD POCKET PARK (ROAD RESERVE),200488765,B-RE-0350-N001,BUBBLER/DRINKING FOUNTAIN,APOLLO 400 DRINKING FOUNTAIN,153.053459734,-27.458313098
44,D0709,ANSTEAD BUSHLAND RESERVE,200488669,B-RE-1655-N004,BUBBLER/DRINKING FOUNTAIN,BUBBLER/TAP/DOG BOWL,152.86122762,-27.5432040219999
45,D0563,MORTIMER ROAD PARK,100265420,B-RE-1629-N016,BUBBLER/DRINKING FOUNTAIN,BUBBLER &TAP WITH BOWL,153.016495511,-27.5780802049999
46,D0563,MORTIMER ROAD PARK,100265419,B-RE-1629-N016,BUBBLER/DRINKING FOUNTAIN,BUBBLER &TAP WITH BOWL,153.015867445,-27.578086011
47,D0256,RAINBOW FOREST PARK,100279755,B-RE-1894-N005,BUBBLER/DRINKING FOUNTAIN,BUBBLER & TAP,152.95900436,-27.516224908
48,D2129,MILTON URBAN COMMON,100279108,B-RE-2720-N001,BUBBLER/DRINKING FOUNTAIN,DRINKING FOUNTAIN,153.00476208,-27.4697975899999
49,D0245,SHAW ESTATE PARK,100275147,B-RE-1987-N032,BUBBLER/DRINKING FOUNTAIN,BUBBLER & TAP,153.039163091,-27.401332055
50,D0124,BARSTON PLACE PARK,100275491,B-RE-1703-N001,BUBBLER/DRINKING FOUNTAIN,BUBBLER & TAP,153.063426204,-27.502246536
51,D3534,JURGENS STREET PARK,100279413,B-RE-0258-N001,BUBBLER/DRINKING FOUNTAIN,DRINKING FOUNTAIN,153.037082386,-27.4883624619999
52,D0474,MOORLANDS PARK,100279725,B-RE-1367-N002,BUBBLER/DRINKING FOUNTAIN,BUBBLER 2 TAPS & DOG BOWL,152.997153314,-27.478817524
53,D2236,VERA CANALE PARK,100306964,B-RE-2832-N003,BUBBLER/DRINKING FOUNTAIN,DRINKING FOUNTAIN,153.036990746,-27.42100135
54,D0663,BOOKER PLACE PARK,200486094,B-RE-1671-N010,BUBBLER/DRINKING FOUNTAIN,BUBBLER,152.893396081,-27.561588092
55,D0035,COLMSLIE RESERVE,100268220,B-RE-1713-N008,BUBBLER/DRINKING FOUNTAIN,BUBBLER & TAP WITH BOWL,153.08352151,-27.450451733
56,D0166,ASCOT PARK,100281866,B-RE-1982-N010,BUBBLER/DRINKING FOUNTAIN,"BUBBLER, TAP & DOG BOWL",153.062614051,-27.428544856
57,D0663,BOOKER PLACE PARK,200486097,B-RE-1671-N015,BUBBLER/DRINKING FOUNTAIN,BUBBLER,152.891558825,-27.565131169
58,D0744,MARSHALL PARK,200487296,B-RE-2484-N001,BUBBLER/DRINKING FOUNTAIN,BUBBLER,153.011386004,-27.4536123139999
59,D0918,THURSTON STREET PARK,100275764,B-RE-2393-N002,BUBBLER/DRINKING FOUNTAIN,BUBBLER & TAP,153.131254484,-27.483005599
60,D0056,WHITES HILL RESERVE,100275840,B-RE-1853-N005,BUBBLER/DRINKING FOUNTAIN,"BUBBLER, TAP & BOWL",153.073562388,-27.514926014
61,D0082,ANZAC SQUARE,100277384,B-RE-1830-N001,BUBBLER/DRINKING FOUNTAIN,DRINKING FOUNTAIN,153.026272437,-27.4664887659999
62,D2147,WATHEROO PLACE PARK,200557067,B-RE-0111-N001,BUBBLER/DRINKING FOUNTAIN,DISABLED ACCESS FOUNTAIN,153.018282252,-27.6410058009999
63,D0631,KEPERRA PICNIC GROUND PARK,100269341,B-RE-1531-N009,BUBBLER/DRINKING FOUNTAIN,BUBBLER & TAP,152.941200645,-27.4121775739999
64,D0160,WALTON BRIDGE RESERVE,100268999,B-RE-1738-N004,BUBBLER/DRINKING FOUNTAIN,BUBBLER & TAP,152.954237539,-27.4448880799999
65,D0647,MT COOT-THA BOTANIC GARDEN,100115578,B-RE-1597-N050,BUBBLER/DRINKING FOUNTAIN,DRINKING FOUNTAIN,152.977744557,-27.4759440509999
66,D2236,VERA CANALE PARK,100306957,B-RE-2832-N002,BUBBLER/DRINKING FOUNTAIN,DRINKING FOUNTAIN,153.036538008,-27.4214851909999
67,D2196,BYRNE'S PADDOCK PARK,100252257,B-RE-2739-N005,BUBBLER/DRINKING FOUNTAIN,TAP & BUBBLER WITH BOWL,153.031776871,-27.440502801
68,D2212,EPALA STREET PARK,100270430,B-RE-0353-N002,BUBBLER/DRINKING FOUNTAIN,BUBBLER & TAP,153.111380582,-27.491699035
69,D1293,BARBOUR ROAD PARK,100271010,B-RE-2088-N004,BUBBLER/DRINKING FOUNTAIN,BUBBLER & TAP,153.019658183,-27.3232093409999
70,D0249,MT COOT-THA RESERVE,100270397,B-RE-1901-N008,BUBBLER/DRINKING FOUNTAIN,DRINKING FOUNTAIN & TAP,152.958870961,-27.465947694
71,D0053,BURN STREET PARK,100253031,B-RE-1856-N001,BUBBLER/DRINKING FOUNTAIN,TAP & BUBBLER,153.083786786,-27.4956113329999
72,D0660,CANTERBURY PARK,100271036,B-RE-1674-N001,BUBBLER/DRINKING FOUNTAIN,"BUBBLER, TAP & DOG BOWL",153.008478157,-27.304065802
73,D0003,PRIMROSE PARK,100285477,B-RE-1818-N002,BUBBLER/DRINKING FOUNTAIN,DRINKING FOUNTAIN,153.157414735,-27.441679601
74,D0151,OXFORD GROVE PARK,100285526,B-RE-1747-N004,BUBBLER/DRINKING FOUNTAIN,BUBBLER & TAP,152.966259472,-27.398063341
75,D1515,AKUNA STREET PARK,100276205,B-RE-2265-N004,BUBBLER/DRINKING FOUNTAIN,BUBBLER & TAP,152.951690305,-27.511163767
76,D1617,GREENWAYS ESPLANADE PARK,200488347,B-RE-0508-N007,BUBBLER/DRINKING FOUNTAIN,BUBBLER 2 TAPS & DOG BOWL,153.019851108,-27.635920885
77,D0147,CAMOOLA STREET PARK,100276564,B-RE-1751-N002,BUBBLER/DRINKING FOUNTAIN,BUBBLER & TAP,152.944117304,-27.41094018
78,D0430,MOORE PARK,100277954,B-RE-1501-N007,BUBBLER/DRINKING FOUNTAIN,BUBBLER & 2 TAPS,152.964866313,-27.4989711499999
79,D0155,CORRAMULLING PARK,100278438,B-RE-1743-N010,BUBBLER/DRINKING FOUNTAIN,BUBBLER 2X TAPS & DOG BOWL,152.93809618,-27.451034684
80,D0564,C.J.GREENFIELD COMPLEX PARK,100278598,B-RE-1628-N014,BUBBLER/DRINKING FOUNTAIN,DRINKING FOUNTAIN,152.96672692,-27.5790847719999
81,D0003,PRIMROSE PARK,200479344,B-RE-1818-N004,BUBBLER/DRINKING FOUNTAIN,BUBBLER & TAP,153.157414154,-27.441192417
82,D1723,FREW PARK,100087337,B-RE-0416-N009,BUBBLER/DRINKING FOUNTAIN,DRINKING FOUNTAIN & TAP,152.999438617,-27.46893575
83,D0374,LEYSHON PARK,200555116,B-RE-1468-N002,BUBBLER/DRINKING FOUNTAIN,BUBBLER & 2 TAPS,153.01778425,-27.5075564059999
84,D0408,GUYATT PARK,200482678,B-RE-1936-N002,BUBBLER/DRINKING FOUNTAIN,BUBBLER & TAP,153.001706871,-27.4927717209999
85,D0464,ALBERT BISHOP PARK,200488191,B-RE-1386-N020,BUBBLER/DRINKING FOUNTAIN,BUBBLER,153.067510285,-27.4072614359999
86,D0838,KINGS PARK,200541986,B-RE-2429-N001,BUBBLER/DRINKING FOUNTAIN,BUBBLER & 2 TAPS,152.942779359,-27.416379042
87,D0564,C.J.GREENFIELD COMPLEX PARK,200481072,B-RE-1628-N006,BUBBLER/DRINKING FOUNTAIN,BUBBLER & TAP,152.964484705,-27.5799437919999
88,D0017,FENWICK PARK,200472618,B-RE-1805-N006,BUBBLER/DRINKING FOUNTAIN,BUBBLER & TAP,152.971128601,-27.412121214
89,D1414,TURRBAL PLACE PARK,200539571,B-RE-2337-N004,BUBBLER/DRINKING FOUNTAIN,2 BUBBLER SET,153.006660291,-27.359399616
90,D1842,EVELYN ROAD PARK,200528093,B-RE-0676-N001,BUBBLER/DRINKING FOUNTAIN,BUBBLER & TAP,153.14504592,-27.451746215
91,D1238,IONA CLOSE PARK,200479179,B-RE-2036-N001,BUBBLER/DRINKING FOUNTAIN,BUBBLER & TAP,153.122899629,-27.483266402
92,D0572,LES ATKINSON PARK,200481100,B-RE-1620-N006,BUBBLER/DRINKING FOUNTAIN,DRINKING FOUNTAIN,153.057242911,-27.5853187769999
93,D0804,BILL BROWN SPORTS RESERVE,100303883,B-RE-2465-N019,BUBBLER/DRINKING FOUNTAIN,BUBBLER & TAP WITH DOG BOWL,153.041836485,-27.3334261159999
94,D0804,BILL BROWN SPORTS RESERVE,100303882,B-RE-2465-N019,BUBBLER/DRINKING FOUNTAIN,BUBBLER & TAP WITH DOG BOWL,153.041162241,-27.3335531559999
95,D0978,TRAMMIES CORNER PARK,200477387,B-RE-2644-N001,BUBBLER/DRINKING FOUNTAIN,DRINKING FOUNTAIN,152.994551641,-27.458546435
96,D0169,CROSBY PARK,100303956,B-RE-1979-N005,BUBBLER/DRINKING FOUNTAIN,SMALL DOLA BUBBLER & 2 TAPS,153.048169372,-27.435654605
97,D0245,SHAW ESTATE PARK,200546156,B-RE-1987-N021,BUBBLER/DRINKING FOUNTAIN,BUBBLER & 2 TAPS,153.047368915,-27.402949513
98,D0463,KALINGA PARK,200570400,B-RE-1387-N012,BUBBLER/DRINKING FOUNTAIN,BUBBLER TAP & BOWL,153.050778714,-27.406159035
99,D0463,KALINGA PARK,100301942,B-RE-1387-N012,BUBBLER/DRINKING FOUNTAIN,BUBBLER TAP & BOWL,153.050906386,-27.406169881
100,D0276,SANDGATE FORESHORES PARK,100301946,B-RE-1875-N006,BUBBLER/DRINKING FOUNTAIN,DRINKING FOUNTAIN,153.064471822,-27.2981181549999
101,D0202,GORDON PARK PLAYGROUND PARK,100301948,B-RE-1949-N001,BUBBLER/DRINKING FOUNTAIN,BUBBLER & TAP,153.027856052,-27.4142495519999
102,D0249,MT COOT-THA RESERVE,100106479,B-RE-1901-N023,BUBBLER/DRINKING FOUNTAIN,DRINKING FOUNTAIN (DISABLED) & 2 TAPS,152.970971829,-27.4718400469999
103,D0249,MT COOT-THA RESERVE,200506753,B-RE-1901-N023,BUBBLER/DRINKING FOUNTAIN,DRINKING FOUNTAIN (DISABLED) & 2 TAPS,152.970938316,-27.471624607
104,D1108,BOONDALL WETLANDS,100293493,B-RE-2652-N010,BUBBLER/DRINKING FOUNTAIN,BUBBLER & TAP,153.077958936,-27.3407906919999
105,D0725,WISHART COMMUNITY PARK,100293608,B-RE-1588-N011,BUBBLER/DRINKING FOUNTAIN,BUBBLER & TAP,153.100347388,-27.566270705
106,D2007,CASCADE DRIVE PARK (NO.20),200487313,B-RE-0169-N003,BUBBLER/DRINKING FOUNTAIN,BUBBLER & TAP,152.964637795,-27.6290098759999
107,D0346,ORLEIGH PARK,200560484,B-RE-1908-N007,BUBBLER/DRINKING FOUNTAIN,DRINKING FOUNTAIN,152.997452442,-27.486496819
108,D0227,MARCHANT PARK,100301968,B-RE-1761-N001,BUBBLER/DRINKING FOUNTAIN,BUBBLER & TAP,153.029792015,-27.377849838
109,D0224,LEN TREZONA PARK,200544546,B-RE-1764-N003,BUBBLER/DRINKING FOUNTAIN,BUBBLER & TAP,153.03673783,-27.363469494
110,D1123,MINDONA ROTARY PARK,200473246,B-RE-0034-N001,BUBBLER/DRINKING FOUNTAIN,BUBBLER & TAP,153.103931048,-27.555995289
111,D0284,SANDGATE SECOND LAGOON RESERVE,200478220,B-RE-1869-N015,BUBBLER/DRINKING FOUNTAIN,BUBBLER & 2 TAPS,153.064141784,-27.3186486929999
112,D2613,WESTAWAY PARK (MOGGILL),200535863,B-RE-0241-N001,BUBBLER/DRINKING FOUNTAIN,DISABLED ACCESS FOUNTAIN,152.873396049,-27.569861143
113,D0089,WILSON OUTLOOK RESERVE,200524035,B-RE-1823-N002,BUBBLER/DRINKING FOUNTAIN,BUBBLER,153.03912758,-27.46343115
114,D0150,UPPER KEDRON RECREATION RESERVE,200526957,B-RE-1748-N008,BUBBLER/DRINKING FOUNTAIN,BUBBLER,152.923248368,-27.4100185729999
115,D0350,MUSGRAVE PARK,200553742,B-RE-1905-N003,BUBBLER/DRINKING FOUNTAIN,BUBBLER & 2 TAPS,153.015953517,-27.478381536
116,D0089,WILSON OUTLOOK RESERVE,100303677,B-RE-1823-N002,BUBBLER/DRINKING FOUNTAIN,BUBBLER & TAP,153.039254854,-27.4635403509999
117,D0647,MT COOT-THA BOTANIC GARDEN,100277511,B-RE-1597-N032,BUBBLER/DRINKING FOUNTAIN,BUBBLER & TAP,152.970492232,-27.4792257579999
118,D1120,STRETTON COMMUNITY PARK,200533615,B-RE-2560-N001,BUBBLER/DRINKING FOUNTAIN,TAP COMBINATION,153.06883276,-27.6175998259999
119,D1444,SIR MANUEL HORNIBROOK PARK,200519815,B-RE-0490-N002,BUBBLER/DRINKING FOUNTAIN,BUBBLER TAP & DOG BOWL,153.049154695,-27.4522586909999
120,P003707,WEST END LIBRARY PROPERTY,100281324,B-RE-0735,BUBBLER/DRINKING FOUNTAIN,DRINKING FOUNTAIN,153.011844474,-27.482502143
121,D0804,BILL BROWN SPORTS RESERVE,200539695,B-RE-2465-N005,BUBBLER/DRINKING FOUNTAIN,DIABLED ACCESS BUBBLER,153.035074979,-27.33960245
122,D1452,NEWBURY PLACE PARK,200514516,B-RE-0482-N002,BUBBLER/DRINKING FOUNTAIN,BUBBLER & 2 TAPS,153.120128363,-27.524666635
123,D1452,NEWBURY PLACE PARK,200482503,B-RE-0482-N002,BUBBLER/DRINKING FOUNTAIN,"BUBBLER, TAP & DOG BOWL",153.119888623,-27.5247199889999
124,D1566,FOREST LAKE SPORTS FIELDS,100281319,B-RE-0463-N003,BUBBLER/DRINKING FOUNTAIN,BUBBLER & TAP,152.967762271,-27.619698173
125,D0515,GREEN CAMP ROAD PARK,100281191,B-RE-1687-N002,BUBBLER/DRINKING FOUNTAIN,BUBBLER TAP & DOG BOWL,153.165504942,-27.479889419
126,D0222,FRED CAMPBELL PARK,100290922,B-RE-1766-N001,BUBBLER/DRINKING FOUNTAIN,BUBBLER & TAP,153.021133981,-27.357656382
127,D1264,TUCKEROO PARK,100290931,B-RE-2060-N004,BUBBLER/DRINKING FOUNTAIN,"BUBBLER, TAP & DOG BOWL",153.105841241,-27.3508964119999
128,D0132,FERGUSON PARK (ENOGGERA),200528280,B-RE-1708-N001,BUBBLER/DRINKING FOUNTAIN,BUBBLER,152.986297535,-27.420524289
129,D0174,NEAL MACROSSAN PLAYGROUND PARK,200474664,B-RE-1974-N001,BUBBLER/DRINKING FOUNTAIN,DRINKING FOUNTAIN,153.010307554,-27.462053489
130,D0410,BANKSIA PARK,100275028,B-RE-1916-N002,BUBBLER/DRINKING FOUNTAIN,"BUBBLER, TAP & BOWL",153.004532411,-27.498917831
131,D0613,SHAND STREET PARK (NO.131),200528315,B-RE-1670-N004,BUBBLER/DRINKING FOUNTAIN,DRINKING FOUNTAIN,152.997533361,-27.4123951559999
132,D0432,ABBEVILLE STREET PARK,100290895,B-RE-1500-N012,BUBBLER/DRINKING FOUNTAIN,BUBBLER & TAP,153.088596523,-27.544697481
133,D0924,WOOD STREET PARK (ROAD RESERVE),200475273,B-RE-2686-N003,BUBBLER/DRINKING FOUNTAIN,CAST IRON DRINKING FOUNTAIN,153.059091482,-27.4010392009999
134,D1845,ROCKS RIVERSIDE PARK,200527756,B-RE-0673-N021,BUBBLER/DRINKING FOUNTAIN,DIABLED ACCESS BUBBLER,152.961101078,-27.5421750159999
135,D1845,ROCKS RIVERSIDE PARK,200527757,B-RE-0673-N021,BUBBLER/DRINKING FOUNTAIN,DIABLED ACCESS BUBBLER,152.961525278,-27.5418576869999
136,D0858,MERRI MERRI PARK,200482254,B-RE-2411-N004,BUBBLER/DRINKING FOUNTAIN,"BUBBLER, TAP & DOG BOWL",152.939993748,-27.4838476749999
137,D0095,NEW FARM PARK,200540630,B-RE-1736-N017,BUBBLER/DRINKING FOUNTAIN,DRINKING FOUNTAIN WITH SLAB & DRAIN,153.052286137,-27.47115794
138,D2274,WARRIL PARKLAND,100296520,B-RE-2900-N005,BUBBLER/DRINKING FOUNTAIN,DRINKING FOUNTAIN WITH DOG BOWL,153.002927701,-27.6506293799999
139,D0456,PLAISTED PLACE PARK,200478285,B-RE-0014-N003,BUBBLER/DRINKING FOUNTAIN,BUBBLER & TAP,153.060828003,-27.3909347539999
140,D0346,ORLEIGH PARK,200510125,B-RE-1908-N001,BUBBLER/DRINKING FOUNTAIN,BUBBLER & 2 TAPS,152.997358689,-27.4893440279999
141,D0346,ORLEIGH PARK,200480283,B-RE-1908-N016,BUBBLER/DRINKING FOUNTAIN,BUBBLER & TAP,152.997380556,-27.489015611
142,D2274,WARRIL PARKLAND,100296445,B-RE-2900-N003,BUBBLER/DRINKING FOUNTAIN,DRINKING FOUNTAIN WITH DOG BOWL,153.004508846,-27.6517561219999
143,D0857,PARDALOTE PARK,100306055,B-RE-2412-N003,BUBBLER/DRINKING FOUNTAIN,BUBBLER & TAP WITH DOG BOWL,153.040623659,-27.606896483
144,D0096,CITY BOTANIC GARDENS,200534363,B-RE-1735-N032,BUBBLER/DRINKING FOUNTAIN,BUBBLER & 2 TAPS,153.029643302,-27.4764310909999
145,D0804,BILL BROWN SPORTS RESERVE,100292520,B-RE-2465-N001,BUBBLER/DRINKING FOUNTAIN,BUBBLER & TAP,153.041222197,-27.3328441689999
146,D0096,CITY BOTANIC GARDENS,100305390,B-RE-1735-N023,BUBBLER/DRINKING FOUNTAIN,DRINKING FOUNTAIN WITH DOG BOWL,153.030728505,-27.476083441
147,D2274,WARRIL PARKLAND,100296490,B-RE-2900-N004,BUBBLER/DRINKING FOUNTAIN,DRINKING FOUNTAIN WITH DOG BOWL,153.003386798,-27.650902027
148,D0509,BRADSHAW PARK,200473643,B-RE-1495-N005,BUBBLER/DRINKING FOUNTAIN,DRINKING FOUNTAIN,153.032283895,-27.4197232349999
149,D0096,CITY BOTANIC GARDENS,100305386,B-RE-1735-N034,BUBBLER/DRINKING FOUNTAIN,DRINKING FOUNTAIN WITH DOG BOWL,153.029258311,-27.4740897
150,D2210,WITTON BARRACKS PARK,100131668,B-RE-2785-N002,BUBBLER/DRINKING FOUNTAIN,BUBBLER & TAP,152.975923443,-27.5034019739999
151,D0096,CITY BOTANIC GARDENS,100305387,B-RE-1735-N028,BUBBLER/DRINKING FOUNTAIN,DRINKING FOUNTAIN WITH DOG BOWL,153.030782412,-27.4741331609999
152,D2234,BOTTLEBRUSH STREET PARK,100295615,B-RE-2829-N001,BUBBLER/DRINKING FOUNTAIN,BUBBLER & TAP,153.121344657,-27.5698557759999
153,D2233,BLACKWOOD STREET PARK,100295627,B-RE-2828-N001,BUBBLER/DRINKING FOUNTAIN,BUBBLER & TAP,153.118929445,-27.568390785
154,D0230,BRADBURY PARK,100295628,B-RE-2002-N012,BUBBLER/DRINKING FOUNTAIN,DRINKING FOUNTAIN,153.027616455,-27.3981532729999
155,D0097,RAYMOND PARK,200527929,B-RE-1734-N007,BUBBLER/DRINKING FOUNTAIN,BUBBLER & 2 TAPS,153.03863174,-27.4803084609999
156,D1242,MING-SHAN PARK,100306047,B-RE-2077-N010,BUBBLER/DRINKING FOUNTAIN,BUBBLER & TAP WITH DOG BOWL,153.05459926,-27.627090215
157,D1900,BURRUN PARK,100305854,B-RE-0598-N003,BUBBLER/DRINKING FOUNTAIN,BUBBLER & TAP,152.817391324,-27.548993434
158,D1863,GEOFF TOAKLEY PARK,200527051,B-RE-0548-N001,BUBBLER/DRINKING FOUNTAIN,BUBBLER,153.084707748,-27.540198905
159,D0275,DECKER PARK,100114235,B-RE-1876-N003,BUBBLER/DRINKING FOUNTAIN,BUBBLER & 2 TAPS,153.064387477,-27.2863060509999
160,D0549,FRENEY STREET PARK,100306181,B-RE-1640-N002,BUBBLER/DRINKING FOUNTAIN,BUBBLER & TAP,153.016648926,-27.552648752
161,D0683,CAVAY PLAYGROUND PARK,100305513,B-RE-1555-N001,BUBBLER/DRINKING FOUNTAIN,BUBBLER & TAP,153.039480551,-27.581440162
162,D0096,CITY BOTANIC GARDENS,100305385,B-RE-1735-N008,BUBBLER/DRINKING FOUNTAIN,DRINKING FOUNTAIN WITH DOG BOWL,153.02920077,-27.473589574
163,D0019,THE BEIRNE PARK,200561183,B-RE-1803-N001,BUBBLER/DRINKING FOUNTAIN,BUBBLER/DRINKING FOUNTAIN,153.068977289,-27.418981881
164,D0662,JOHN GOSS RESERVE,100301447,B-RE-1672-N005,BUBBLER/DRINKING FOUNTAIN,"BUBBLER, TAP & DOG BOWL",153.011980001,-27.3784329
