OBJECTID,PARK_NUMBER,PARK_NAME,SAP_EQUIPMENT,SAP_FUNCTIONAL_LOCATION,ITEM_TYPE,ITEM_DESCRIPTION,X,Y
671,D0530,LOTA CAMPING RESERVE,200560504,B-RE-1426-N001,BUBBLER/DRINKING FOUNTAIN,BUBBLER/DRINKING FOUNTAIN,153.192418363,-27.46531759
672,D0096,CITY BOTANIC GARDENS,200534592,B-RE-1735-N035,BUBBLER/DRINKING FOUNTAIN,BUBBLER & 2 TAPS,153.028997114,-27.476116396
673,D0507,CLARK PARK,200567896,B-RE-1497-N003,BUBBLER/DRINKING FOUNTAIN,DISABLED ACCESS DRINKING FOUNTAIN,153.032355875,-27.426818187
674,D0096,CITY BOTANIC GARDENS,100305388,B-RE-1735-N011,BUBBLER/DRINKING FOUNTAIN,DRINKING FOUNTAIN WITH DOG BOWL,153.02794977,-27.4750264319999
675,D0976,ARRABRI AVENUE PARK,200555454,B-RE-2645-N001,BUBBLER/DRINKING FOUNTAIN,BUBBLER,152.931940815,-27.5470857029999
676,D0658,KIANAWAH ROAD PARK (NO.330),200560228,B-RE-1676-N014,BUBBLER/DRINKING FOUNTAIN,DRINKING FOUNTAIN,153.147101072,-27.457274199
677,D0492,DOWNEY PARK,200501530,B-RE-1442-N008,BUBBLER/DRINKING FOUNTAIN,BUBBLER WITH DOG/BIRD DRINKING TROUGH,153.024908421,-27.4408829139999
678,D0276,SANDGATE FORESHORES PARK,100291786,B-RE-1875-N004,BUBBLER/DRINKING FOUNTAIN,DRINKING FOUNTAIN,153.064770107,-27.292361742
679,D0372,HEFFERAN PARK,100302670,B-RE-1470-N002,BUBBLER/DRINKING FOUNTAIN,DRINKING FOUNTAIN,153.029397841,-27.500571355
680,D0011,GEORGE SCARLETT PARK,100308719,B-RE-1811-N004,BUBBLER/DRINKING FOUNTAIN,BUBBLER 2 TAPS & DOG BOWL,152.984248968,-27.54866807
681,D0745,WAL COCKING PARK,200476552,B-RE-2483-N001,BUBBLER/DRINKING FOUNTAIN,BUBBLER,152.938530687,-27.507689784
682,D0228,7TH BRIGADE PARK,200560393,B-RE-2004-N028,BUBBLER/DRINKING FOUNTAIN,DIABLED ACCESS FOUNTAIN APOLLO 800,153.0452439,-27.378220423
683,D0662,JOHN GOSS RESERVE,200560402,B-RE-1672-N008,BUBBLER/DRINKING FOUNTAIN,BUBBLER/DRINKING FOUNTAIN,153.012869668,-27.378750496
684,D0517,BAYSIDE PARK,100308712,B-RE-1685-N005,BUBBLER/DRINKING FOUNTAIN,DRINKING FOUNTAIN,153.186556202,-27.451243158
685,D0995,WYNNUM WADING POOL PARK,100308691,B-RE-2628-N008,BUBBLER/DRINKING FOUNTAIN,DRINKING FOUNTAIN,153.176504437,-27.442451161
686,D0096,CITY BOTANIC GARDENS,100305391,B-RE-1735-N023,BUBBLER/DRINKING FOUNTAIN,DRINKING FOUNTAIN WITH DOG BOWL,153.030437877,-27.4772880429999
687,D0320,TOM O'NEIL PARK,100305916,B-RE-2005-N003,BUBBLER/DRINKING FOUNTAIN,BUBBLER & TAP,152.97620368,-27.5596361689999
688,D0804,BILL BROWN SPORTS RESERVE,100305611,B-RE-2465-N017,BUBBLER/DRINKING FOUNTAIN,DRINKING FOUNTAIN,153.04413594,-27.3315780619999
